Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN MATEO,81,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,84,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN MATEO,81,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,27,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,745,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,43,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"3,277",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,52,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,559,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,166,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHEAST,30,LASSEN,35,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"2,095",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHEAST,30,LASSEN,35,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,24,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHEAST,30,MODOC,49,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,76,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHEAST,30,MODOC,49,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,6,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHEAST,30,PLUMAS,63,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,45,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHEAST,30,PLUMAS,63,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,3,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHERN COAST,10,HUMBOLDT,23,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHERN COAST,10,HUMBOLDT,23,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,37,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHERN COAST,10,MENDOCINO,45,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,249,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,NORTHERN COAST,10,MENDOCINO,45,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,27,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"34,917",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,52,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"7,662",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,19,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"67,471",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,29,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"29,301",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,61,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"9,328",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,29,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"19,568",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,21,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,TEHAMA,103,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"17,564",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,TEHAMA,103,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,21,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"26,451",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,22,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YUBA,115,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"11,818",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YUBA,115,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,29,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"89,015",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,67,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"152,227",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,42,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"35,578",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,13,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"78,082",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,42,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"82,832",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,63,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"15,272",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,73,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"20,771",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,45,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"92,867",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,49,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,AMADOR,5,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,32,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,AMADOR,5,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,11,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,CALAVERAS,9,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,843,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,CALAVERAS,9,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,29,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,EL DORADO,17,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,393",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,EL DORADO,17,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,82,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,INYO,27,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,INYO,27,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,MARIPOSA,43,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,496,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,MARIPOSA,43,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,NEVADA,57,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,144",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,NEVADA,57,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,28,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,PLACER,61,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,PLACER,61,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,43,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,SIERRA,91,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,160,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,SIERRA,91,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,8,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,TUOLUMNE,109,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,67,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,TUOLUMNE,109,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,13,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SISKIYOU-SHASTA,20,SHASTA,89,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"37,445",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SISKIYOU-SHASTA,20,SHASTA,89,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,43,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SISKIYOU-SHASTA,20,SISKIYOU,93,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,66,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SISKIYOU-SHASTA,20,SISKIYOU,93,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,25,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SISKIYOU-SHASTA,20,TRINITY,105,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,126,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SISKIYOU-SHASTA,20,TRINITY,105,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,9,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,IMPERIAL,25,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"22,223",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,IMPERIAL,25,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,17,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,LOS ANGELES,37,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"3,469",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,LOS ANGELES,37,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,64,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,ORANGE,59,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,612",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,ORANGE,59,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,9,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,RIVERSIDE,65,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"38,758",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,RIVERSIDE,65,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,86,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN BERNARDINO,71,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"26,351",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN BERNARDINO,71,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,33,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN DIEGO,73,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"44,294",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN DIEGO,73,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,145,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SANTA BARBARA,83,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"8,573",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SANTA BARBARA,83,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,55,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,VENTURA,111,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"35,303",17.7
